week_ending_date,location,location_name,infected
2022-09-17,01,Alabama,22.0
2022-02-26,01,Alabama,10.0
2022-02-19,01,Alabama,21.0
2022-02-12,01,Alabama,9.0
2022-02-05,01,Alabama,5.0
2022-01-29,01,Alabama,41.0
2022-01-22,01,Alabama,18.0
2022-01-15,01,Alabama,17.0
2022-01-08,01,Alabama,34.0
2022-01-01,01,Alabama,70.0
2021-12-25,01,Alabama,17.0
2021-12-18,01,Alabama,23.0
2022-03-05,01,Alabama,26.0
2021-12-11,01,Alabama,17.0
2021-11-27,01,Alabama,10.0
2021-11-20,01,Alabama,16.0
2021-11-13,01,Alabama,15.0
2021-11-06,01,Alabama,9.0
2021-10-30,01,Alabama,12.0
2021-10-23,01,Alabama,6.0
2021-10-16,01,Alabama,5.0
2021-10-09,01,Alabama,13.0
2021-10-02,01,Alabama,7.0
2021-09-25,01,Alabama,15.0
2021-09-18,01,Alabama,30.0
2021-12-04,01,Alabama,23.0
2021-09-11,01,Alabama,30.0
2022-03-12,01,Alabama,35.0
2022-03-26,01,Alabama,17.0
2022-09-10,01,Alabama,12.0
2022-09-03,01,Alabama,13.0
2022-08-27,01,Alabama,10.0
2022-08-20,01,Alabama,5.0
2022-08-13,01,Alabama,8.0
2022-08-06,01,Alabama,9.0
2022-07-30,01,Alabama,9.0
2022-07-23,01,Alabama,5.0
2022-07-16,01,Alabama,33.0
2022-07-09,01,Alabama,15.0
2022-07-02,01,Alabama,8.0
2022-03-19,01,Alabama,23.0
2022-06-25,01,Alabama,7.0
2022-06-11,01,Alabama,15.0
2022-06-04,01,Alabama,13.0
2022-05-28,01,Alabama,13.0
2022-05-21,01,Alabama,15.0
2022-05-14,01,Alabama,12.0
2022-05-07,01,Alabama,19.0
2022-04-30,01,Alabama,9.0
2022-04-23,01,Alabama,25.0
2022-04-16,01,Alabama,11.0
2022-04-09,01,Alabama,23.0
2022-04-02,01,Alabama,25.0
2022-06-18,01,Alabama,15.0
2022-09-24,01,Alabama,20.0
2021-09-04,01,Alabama,47.0
2021-08-21,01,Alabama,30.0
2021-01-30,01,Alabama,46.0
2021-01-23,01,Alabama,22.0
2021-01-16,01,Alabama,42.0
2021-01-09,01,Alabama,33.0
2021-01-02,01,Alabama,20.0
2020-12-26,01,Alabama,19.0
2020-12-19,01,Alabama,35.0
2020-12-12,01,Alabama,6.0
2020-12-05,01,Alabama,12.0
2020-11-28,01,Alabama,17.0
2020-11-21,01,Alabama,11.0
2021-02-06,01,Alabama,37.0
2020-11-14,01,Alabama,25.0
2020-10-31,01,Alabama,18.0
2020-10-24,01,Alabama,3.0
2020-10-17,01,Alabama,1.0
2020-10-10,01,Alabama,1.0
2020-10-03,01,Alabama,1.0
2020-09-26,01,Alabama,1.0
2020-09-19,01,Alabama,1.0
2020-09-12,01,Alabama,1.0
2020-09-05,01,Alabama,1.0
2020-08-29,01,Alabama,1.0
2020-08-22,01,Alabama,1.0
2020-11-07,01,Alabama,21.0
2021-08-28,01,Alabama,41.0
2021-02-13,01,Alabama,33.0
2021-02-27,01,Alabama,31.0
2021-08-14,01,Alabama,22.0
2021-08-07,01,Alabama,29.0
2021-07-31,01,Alabama,45.0
2021-07-24,01,Alabama,14.0
2021-07-17,01,Alabama,18.0
2021-07-10,01,Alabama,7.0
2021-07-03,01,Alabama,17.0
2021-06-26,01,Alabama,7.0
2021-06-19,01,Alabama,8.0
2021-06-12,01,Alabama,22.0
2021-06-05,01,Alabama,18.0
2021-02-20,01,Alabama,29.0
2021-05-29,01,Alabama,15.0
2021-05-15,01,Alabama,19.0
2021-05-08,01,Alabama,14.0
2021-05-01,01,Alabama,20.0
2021-04-24,01,Alabama,32.0
2021-04-17,01,Alabama,11.0
2021-04-10,01,Alabama,13.0
2021-04-03,01,Alabama,11.0
2021-03-27,01,Alabama,18.0
2021-03-20,01,Alabama,28.0
2021-03-13,01,Alabama,23.0
2021-03-06,01,Alabama,29.0
2021-05-22,01,Alabama,16.0
2022-10-01,01,Alabama,28.0
2022-10-08,01,Alabama,42.0
2022-10-15,01,Alabama,87.0
2024-11-09,01,Alabama,32.0
2024-11-02,01,Alabama,13.0
2024-04-20,01,Alabama,17.0
2024-04-13,01,Alabama,19.0
2024-04-06,01,Alabama,39.0
2024-03-30,01,Alabama,60.0
2024-03-23,01,Alabama,70.0
2024-03-16,01,Alabama,65.0
2024-03-09,01,Alabama,85.0
2024-03-02,01,Alabama,81.0
2024-02-24,01,Alabama,87.0
2024-11-16,01,Alabama,44.0
2024-02-17,01,Alabama,120.0
2024-02-03,01,Alabama,103.0
2024-01-27,01,Alabama,142.0
2024-01-20,01,Alabama,169.0
2024-01-13,01,Alabama,226.0
2024-01-06,01,Alabama,348.0
2023-12-30,01,Alabama,318.0
2023-12-23,01,Alabama,269.0
2023-12-16,01,Alabama,143.0
2023-12-09,01,Alabama,110.0
2023-12-02,01,Alabama,84.0
2023-11-25,01,Alabama,71.0
2024-02-10,01,Alabama,109.0
2023-11-18,01,Alabama,73.0
2024-11-23,01,Alabama,50.0
2024-12-07,01,Alabama,102.0
2025-05-24,01,Alabama,26.0
2025-05-17,01,Alabama,37.0
2025-05-10,01,Alabama,33.0
2025-05-03,01,Alabama,27.0
2025-04-26,01,Alabama,35.0
2025-04-19,01,Alabama,50.0
2025-04-12,01,Alabama,54.0
2025-04-05,01,Alabama,85.0
2025-03-29,01,Alabama,169.0
2025-03-22,01,Alabama,193.0
2025-03-15,01,Alabama,273.0
